province_id,province_name,mean_ruggedness,mean_tavg,mean_srad
ES111,A Coruña,131746.96875,12.994376182556152,13019.1884765625
ES112,Lugo,188611.3125,11.822626113891602,13100.8017578125
ES113,Ourense,220489.171875,11.368520736694336,14073.7802734375
ES114,Pontevedra,181222.921875,12.805879592895508,13646.6396484375
ES120,Asturias,375769.03125,11.184520721435547,12792.2353515625
ES130,Cantabria,307193.40625,11.509541511535645,12989.259765625
ES211,Araba/Álava,187941.203125,10.921343803405762,13303.966796875
ES212,Gipuzkoa,308364.625,12.287199974060059,12747.341796875
ES213,Bizkaia,258647.5625,12.85641860961914,12578.9765625
ES220,Navarra,193015.765625,11.798185348510742,13806.8740234375
ES230,La Rioja,206885.640625,10.783578872680664,14182.802734375
ES241,Huesca,247760.546875,11.75251579284668,14967.833984375
ES242,Teruel,138570.421875,10.974006652832031,15676.1181640625
ES243,Zaragoza,97642.5,13.480110168457031,15220.9248046875
ES300,Madrid,116005.5546875,13.016195297241211,15760.6142578125
ES411,Ávila,190898.328125,10.7167387008667,15897.0966796875
ES412,Burgos,128808.375,10.724382400512695,14139.751953125
ES413,León,212067.546875,9.833537101745605,14305.3408203125
ES414,Palencia,86666.0234375,10.799370765686035,14499.1162109375
ES415,Salamanca,83986.2578125,12.054960250854492,15838.048828125
ES416,Segovia,85894.7421875,10.859151840209961,15285.2314453125
ES417,Soria,112779.9765625,10.169367790222168,14941.9853515625
ES418,Valladolid,46507.03515625,11.96422290802002,15170.724609375
ES419,Zamora,89693.1640625,11.52698802947998,15178.4248046875
ES421,Albacete,100185.078125,13.578145980834961,16496.84765625
ES422,Ciudad Real,96353.75,14.565950393676758,16534.783203125
ES423,Cuenca,100862.609375,12.577658653259277,15967.419921875
ES424,Guadalajara,125019.2578125,11.240139961242676,15412.1708984375
ES425,Toledo,74843.484375,14.542999267578125,16283.1435546875
ES431,Badajoz,76778.765625,15.772208213806152,16946.7421875
ES432,Cáceres,122941.71875,15.14732551574707,16571.734375
ES511,Barcelona,177260.125,12.99714469909668,15010.818359375
ES512,Girona,211973.359375,12.463340759277344,14686.5615234375
ES513,Lleida,292346.84375,10.549103736877441,15126.1826171875
ES514,Tarragona,151026.78125,14.532200813293457,15403.287109375
ES521,Alicante/Alacant,168507.03125,15.563028335571289,16402.16015625
ES522,Castellón/Castelló,176977.359375,13.5308837890625,15768.7724609375
ES523,Valencia/València,133039.15625,14.75747299194336,16093.8251953125
ES611,Almería,357688.4375,14.765949249267578,17106.046875
ES612,Cádiz,256907.265625,17.114301681518555,17551.1328125
ES613,Córdoba,168583.984375,16.063243865966797,16823.755859375
ES614,Granada,378601.28125,13.35999870300293,17062.80078125
ES615,Huelva,140900.046875,16.897056579589844,17471.142578125
ES616,Jaén,272537.875,15.143694877624512,16738.830078125
ES617,Málaga,454626.375,15.732670783996582,17260.21484375
ES618,Sevilla,122471.578125,17.20374298095703,17232.17578125
ES620,Murcia,180422.796875,15.660786628723145,16726.962890625
