province_id,province_name,mean_seismic_hazard,broadband_100,broadband_5g
ES111,A Coruña,-0.20580158335962792,-0.260090133767283,1.1209726597661365
ES112,Lugo,-0.21504858214943862,-2.3499390855955413,-0.4423785440965165
ES113,Ourense,-0.1593883246697005,-1.044302257598347,0.009044791497157142
ES114,Pontevedra,-0.11254156539120849,-0.3158531191115767,0.756214908753839
ES120,Asturias,-0.45465888448616365,-0.37695619808395703,0.6285428492087212
ES130,Cantabria,-0.5906194553878079,0.9074182600224984,-0.4336575178527848
ES211,Araba/Álava,-0.3451293008419896,1.1952816837995255,2.0415018764869206
ES212,Gipuzkoa,-0.24445967943086508,0.9498556555347163,-0.7835790768106387
ES213,Bizkaia,-0.4944767219490637,1.1763971310333692,1.8856372321940962
ES220,Navarra,0.12172890716419237,0.31771904578765553,0.2843262037445352
ES230,La Rioja,-0.374276843528473,1.0103967088745918,0.7540952256132805
ES241,Huesca,-0.0650107885981521,-1.1843257624649044,-1.6673552090984292
ES242,Teruel,-0.5073453484077839,-2.58328163097429,-2.323485181654641
ES243,Zaragoza,-0.43560280723656136,0.6332688846872452,1.625194920853349
ES300,Madrid,-0.9921734739169058,1.4723236225436491,1.2474685252213913
ES411,Ávila,-0.9976409635433757,-1.7419585586476967,-0.0957347741708742
ES412,Burgos,-0.6411127976787765,-0.1498774606703527,-0.16689094268747937
ES413,León,-0.4887748871830256,-1.1457119249688121,-0.3527228345908727
ES414,Palencia,-0.7493145833057906,-1.0905658026165463,-0.22749352898231132
ES415,Salamanca,-0.5753715765854299,-1.2296780231721307,-0.10667845058279289
ES416,Segovia,-1.0019352329497127,-0.49664451809854293,-0.9386143726518038
ES417,Soria,-0.48594285331736614,-1.2723488201459792,-0.5137867552131924
ES418,Valladolid,-0.8888702955955917,0.8518975443943045,0.6485500678450602
ES419,Zamora,-0.5215796990258069,-2.3170198387517758,-2.1878961854284604
ES421,Albacete,0.6112196772162771,0.4842963924989043,0.07351448373562314
ES422,Ciudad Real,-0.5837415590587708,0.5110960176625373,-1.7381376571224096
ES423,Cuenca,-0.6042288963158622,0.13515686780322572,-1.055911036413078
ES424,Guadalajara,-0.7281026753186189,0.30301806789581953,0.33576489598526893
ES425,Toledo,-0.8841540862299194,1.1189902307253339,-0.7118950291935838
ES431,Badajoz,-0.44705841208988073,0.1884830841563277,-0.6343451064716236
ES432,Cáceres,-0.4519562212114022,-0.31182601335376114,-0.7836473392833739
ES511,Barcelona,-0.3445729633291207,1.4680688259943668,0.6556307734159236
ES512,Girona,-0.18019571512531585,-0.0580736686389108,0.5475026917669894
ES513,Lleida,-0.1851888475486857,-0.06696291802374768,-0.6601926967505725
ES514,Tarragona,-0.5038205241721003,-0.05394954575618481,-0.011453607010216556
ES521,Alicante/Alacant,1.7135889293952318,0.3207815488310039,-0.5684235365524352
ES522,Castellón/Castelló,-0.3772341611331265,0.3249450452981708,0.1792594625094847
ES523,Valencia/València,0.2906034886844861,0.8615360372681524,1.0012418186079834
ES611,Almería,3.3222983485175663,0.06700267205562249,0.3457506901296823
ES612,Cádiz,1.3258909782133048,0.8010765704628976,0.11078933600755851
ES613,Córdoba,0.24054086200906802,0.45679359753011484,-0.24452605010294912
ES614,Granada,2.6629909599083366,0.39808714400472817,-0.8577469914177496
ES615,Huelva,0.6487998723617229,-0.12613398081700336,-0.07963567405905242
ES616,Jaén,0.9399388729526501,0.27837729142607276,-0.4230275776355491
ES617,Málaga,1.6680145615922464,0.908964823859902,0.7124163205468165
ES618,Sevilla,0.5020691327718415,0.8058972191790721,0.8546066043146969
ES620,Murcia,2.789645719284491,0.2283692879276369,2.1911893376288454
