province_id,province_name,broadband_ftth,broadband_100,broadband_5g,crime_per_100k
ES111,A Coruña,0.7983263122615547,0.838292537148747,0.6795944301582975,3782.174409029709
ES112,Lugo,0.6289431217372877,0.6587862037740623,0.4683593874168981,2882.92226422529
ES113,Ourense,0.7533773300637502,0.770933102959143,0.5293542728610597,3095.7190009360065
ES114,Pontevedra,0.8061756754677598,0.8335028086717565,0.6303095228802854,3563.9220649107547
ES120,Asturias,0.7652778697676041,0.8282543960270817,0.613058880229893,3401.019354250382
ES130,Cantabria,0.9320276071588822,0.9385749765901377,0.46953774474747867,4193.76010717838
ES211,Araba/Álava,0.9510358085742295,0.9633008342506599,0.803973410363314,4786.117956057901
ES212,Gipuzkoa,0.8890500486057356,0.9422201114501022,0.4222574565563339,4578.729489894604
ES213,Bizkaia,0.9371408005405013,0.9616787568170215,0.7829134753226651,5052.356359776854
ES220,Navarra,0.8696412449127872,0.8879231131391334,0.566549421806681,5290.12981995095
ES230,La Rioja,0.9470211870913313,0.9474202492371777,0.6300231180355597,3684.7741883713106
ES241,Huesca,0.7588890953486976,0.7589058672477395,0.30284443623409985,3809.88619763648
ES242,Teruel,0.6387433845527919,0.6387433845527919,0.21419024103190587,2954.5706166734326
ES243,Zaragoza,0.9143471168157336,0.9150270789679962,0.7477233384987676,4141.507949799288
ES300,Madrid,0.9848352547512386,0.9870971868872779,0.6966861492039167,5699.333210803267
ES411,Ávila,0.7088317625421493,0.7110083297129445,0.5151967911783601,4185.863580177548
ES412,Burgos,0.8359134823262637,0.8477591891868023,0.5055823959862995,3881.3090407085165
ES413,León,0.75936658011398,0.7622225798648813,0.48047338175332294,3804.8252722123248
ES414,Palencia,0.7592494829941544,0.7669593232618751,0.4973939672604962,3279.7875031621556
ES415,Salamanca,0.746261269678315,0.7550103617746358,0.5137181164257466,3707.031990267819
ES416,Segovia,0.8175349102170482,0.8179738389299773,0.401309580440897,4018.7511958670834
ES417,Soria,0.7513451790348735,0.7513451790348735,0.45871093703028676,3943.927304964539
ES418,Valladolid,0.9301020779087268,0.9338060577263907,0.6157621919830945,3976.015146724368
ES419,Zamora,0.6451936905892263,0.6616137829123588,0.23251059498841642,3376.6030747770874
ES421,Albacete,0.900205610617936,0.9022311753104502,0.5380652126434131,3950.6636775224765
ES422,Ciudad Real,0.9017135116560205,0.9045331131824342,0.29328053696645967,3147.020717497167
ES423,Cuenca,0.8722420433880337,0.8722420433880337,0.385460828271955,3436.7318625307257
ES424,Guadalajara,0.8802484791227058,0.8866603813823348,0.5734996543118192,4364.906621755668
ES425,Toledo,0.9543044197196656,0.9567478252414708,0.43194317709363383,4518.142180299384
ES431,Badajoz,0.8768224670411002,0.8768224670411002,0.4424214760198709,3516.9562167788367
ES432,Cáceres,0.8288280512259357,0.8338487145268496,0.422248233148113,2897.6796378222903
ES511,Barcelona,0.9863322144840753,0.986731723667006,0.6167189144010675,6609.206873092731
ES512,Girona,0.8556446213291777,0.8556446213291777,0.6021089918883109,6123.758825084004
ES513,Lleida,0.8546875702275553,0.8548810845376171,0.43892903182444903,5084.283551016879
ES514,Tarragona,0.8553886215354937,0.8559988604125417,0.526584594445783,5591.621384587543
ES521,Alicante/Alacant,0.8798283620567298,0.8881861650174901,0.45132858889703814,5247.208275579858
ES522,Castellón/Castelló,0.883867689337727,0.8885437860714834,0.55235313787467,4678.033841579815
ES523,Valencia/València,0.9276152312420111,0.9346339503420407,0.6634167796809015,5534.859262129473
ES611,Almería,0.8633268298910922,0.8663879792595951,0.5748489030587995,4478.066439243492
ES612,Cádiz,0.9065921030530826,0.929440820381856,0.5431016721372156,4523.1134290806995
ES613,Córdoba,0.8981286392562458,0.8998688390860622,0.4950925871751882,4033.8571341726047
ES614,Granada,0.8887769112838232,0.8948262831594463,0.4122361238107777,4354.8910585543645
ES615,Huelva,0.8493573179259032,0.8497986212741317,0.5173720503855149,4325.180355912294
ES616,Jaén,0.8701461202162725,0.8845438765355516,0.4709740284632416,3290.098530124374
ES617,Málaga,0.9377341121816437,0.938707817771573,0.6243915969343659,5771.837619359752
ES618,Sevilla,0.9274684437456465,0.9298548871376237,0.6436038958694417,5098.749193806402
ES620,Murcia,0.8740460270611137,0.8802484688030743,0.8241987040619038,4751.144481832904
